Basic Information:,,,,,,,,,,,Instrument/ meteorological station information:,,,,,,,,,,,Gridded Data Product Information:,,,,Data Product Information:,,,,,
Data.set.name,Site,Variable,Statistic,Data.Interval,Start.Date,End.Date,Ongoing?,Data.Type,Gap.Free?,Source.Type,Meteorological.Station.Name.(ID),latitude,longitude,elevation,Instrument.Location,Instrument.Distance.From.Plot(km),Station.Elevation.Relative.To.Plot,Instrument.Location.Description,Instrument.height.or.depth(m),n.instruments,instrument.type/model,Gridded.Data.Product.Name,Gridded.Data.Product.URL.or.citation,Gridded.Data.Product.Spatial.Resolution,Gridded.data.product.notes,Data.Availability,Data.URL.or.location,Data.Contact(s),Related.Publication(s).or.Metadata,Notes,Record.Last.Updated
CHELSA v. 1.1,[ANY SITE],Air Temperature ,"minimum - coldest month, interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,"annual range (mean max of warmest month- mean min of coldest month), interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,"mean - wettest quarter  (3 months), interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,"mean - driest quarter, interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,"mean - warmest quarter (3 months), interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,"mean - driest quarter (3 months), interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Precipitation,"sum- annual, interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Precipitation,"sum - wettest month, interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Precipitation,"sum- driest month, interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Precipitation,"mean seasonality (coefficient of variation), interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Precipitation,"sum - wettest quarter (3 months), interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Precipitation,"sum - driest quarter (3 months), interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Precipitation,"sum - warmest quarter (3 months), interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Precipitation,"sum - coldest quarter (3 months), interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,interannual variation (SD),,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Precipitation,interannual variation (SD),,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CRU-TS Historic Climate Database ,[ANY SITE],Air Temperature ,mean,1 month,1901.01.01,2016.12.31,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRU-TS v4.01 Historic Climate Database,https://crudata.uea.ac.uk/cru/data/hrg/,0.5 degree,,Open access ,https://github.com/forestgeo/Climate/tree/master/Gridded_Data_Products/Historical%20Climate%20Data,Kristina Anderson-Teixeira (Smithsonian),"Harris I, Jones PD, Osborn TJ, Lister DH (2014) Updated high-resolution grids of monthly climatic observations - the CRU TS3.10 Dataset: UPDATED HIGH-RESOLUTION GRIDS OF MONTHLY CLIMATIC OBSERVATIONS. International Journal of Climatology, 34, 623_642.",Data were extracted for all ForestGEO sites current as of August 2018 (see 'ForestGEO_gridded climate data.csv' for list).  Older versions are also archived,8/20/18
CRU-TS Historic Climate Database ,[ANY SITE],Air Temperature ,mean daily maximum,1 month,1901.01.01,2016.12.31,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRU-TS v4.01 Historic Climate Database,https://crudata.uea.ac.uk/cru/data/hrg/,0.5 degree,,Open access ,https://github.com/forestgeo/Climate/tree/master/Gridded_Data_Products/Historical%20Climate%20Data,Kristina Anderson-Teixeira (Smithsonian),"Harris I, Jones PD, Osborn TJ, Lister DH (2014) Updated high-resolution grids of monthly climatic observations - the CRU TS3.10 Dataset: UPDATED HIGH-RESOLUTION GRIDS OF MONTHLY CLIMATIC OBSERVATIONS. International Journal of Climatology, 34, 623_642.",Data were extracted for all ForestGEO sites current as of August 2018 (see 'ForestGEO_gridded climate data.csv' for list).  Older versions are also archived,8/20/18
CRU-TS Historic Climate Database ,[ANY SITE],Air Temperature ,mean daily minimum,1 month,1901.01.01,2016.12.31,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CRU-TS v4.01 Historic Climate Database,https://crudata.uea.ac.uk/cru/data/hrg/,0.5 degree,,Open access ,https://github.com/forestgeo/Climate/tree/master/Gridded_Data_Products/Historical%20Climate%20Data,Kristina Anderson-Teixeira (Smithsonian),"Harris I, Jones PD, Osborn TJ, Lister DH (2014) Updated high-resolution grids of monthly climatic observations - the CRU TS3.10 Dataset: UPDATED HIGH-RESOLUTION GRIDS OF MONTHLY CLIMATIC OBSERVATIONS. International Journal of Climatology, 34, 623_642.",Data were extracted for all ForestGEO sites current as of August 2018 (see 'ForestGEO_gridded climate data.csv' for list).  Older versions are also archived,8/20/18
