STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,year,flag,flagdp
USC00443229,"FRONT ROYAL, VA US",8/12/2010,,,0,0,0,30,23,23,2010,,
USC00443229,"FRONT ROYAL, VA US",9/12/2010,,,0,0,0,30,23,23,2010,,
USC00443229,"FRONT ROYAL, VA US",10/12/2010,,,0,0,0,36,23,26,2010,,
USC00443229,"FRONT ROYAL, VA US",11/12/2010,,,0.05,0.5,1,35,25,26,2010,,
USC00443229,"FRONT ROYAL, VA US",12/12/2010,,,0.24,0,0,42,25,32,2010,,
USC00443229,"FRONT ROYAL, VA US",13/12/2010,,,0.14,0,0,37,27,27,2010,,
USC00443229,"FRONT ROYAL, VA US",14/12/2010,,,0,0,0,29,17,17,2010,,
USC00443229,"FRONT ROYAL, VA US",15/12/2010,,,0,0,0,22,16,19,2010,,
USC00443229,"FRONT ROYAL, VA US",16/12/2010,,,0,0,0,32,12,15,2010,,
USC00443229,"FRONT ROYAL, VA US",17/12/2010,,,0.15,1.5,2,22,12,17,2010,,
USC00443229,"FRONT ROYAL, VA US",18/12/2010,,,0,0,,34,17,26,2010,,
USC00443229,"FRONT ROYAL, VA US",19/12/2010,,,0,0,,34,22,22,2010,,
USC00443229,"FRONT ROYAL, VA US",20/12/2010,,,0,0,,33,18,24,2010,,
USC00443229,"FRONT ROYAL, VA US",21/12/2010,,,0,0,,34,19,27,2010,,
USC00443229,"FRONT ROYAL, VA US",22/12/2010,,,0,0,,35,26,30,2010,,
USC00443229,"FRONT ROYAL, VA US",23/12/2010,,,0,0,,39,29,31,2010,,
USC00443229,"FRONT ROYAL, VA US",24/12/2010,,,0,0,,36,26,26,2010,,
USC00443229,"FRONT ROYAL, VA US",25/12/2010,,,0,0,,37,25,28,2010,,
USC00443229,"FRONT ROYAL, VA US",26/12/2010,,,0.01,0.1,0,32,26,28,2010,,
USC00443229,"FRONT ROYAL, VA US",27/12/2010,,,0,0,0,28,23,24,2010,,
USC00443229,"FRONT ROYAL, VA US",28/12/2010,,,0,0,0,32,24,26,2010,,
USC00443229,"FRONT ROYAL, VA US",29/12/2010,,,0,0,0,46,26,34,2010,,
USC00443229,"FRONT ROYAL, VA US",30/12/2010,,,0,0,0,45,24,24,2010,,
USC00443229,"FRONT ROYAL, VA US",31/12/2010,,,0,0,0,46,24,32,2010,,
USC00443229,"FRONT ROYAL, VA US",1/1/2011,,,0,0,0,60,31,42,2011,,
USC00443229,"FRONT ROYAL, VA US",2/1/2011,,,0,0,0,63,42,47,2011,,
USC00443229,"FRONT ROYAL, VA US",3/1/2011,,,0,0,0,49,25,25,2011,,
USC00443229,"FRONT ROYAL, VA US",4/1/2011,,,0,0,0,39,20,21,2011,,
USC00443229,"FRONT ROYAL, VA US",5/1/2011,,,0,0,0,50,20,29,2011,,
USC00443229,"FRONT ROYAL, VA US",6/1/2011,,,0,0,0,42,20,23,2011,,
USC00443229,"FRONT ROYAL, VA US",7/1/2011,,,0,0,0,39,22,31,2011,,
USC00443229,"FRONT ROYAL, VA US",8/1/2011,,,0.01,0,0,35,22,24,2011,,
USC00443229,"FRONT ROYAL, VA US",9/1/2011,,,0,0,0,29,19,19,2011,,
USC00443229,"FRONT ROYAL, VA US",10/1/2011,,,0,0,0,30,19,20,2011,,
USC00443229,"FRONT ROYAL, VA US",11/1/2011,,,0,0,0,33,19,24,2011,,
USC00443229,"FRONT ROYAL, VA US",12/1/2011,,,0.08,0.8,1,31,24,27,2011,,
USC00443229,"FRONT ROYAL, VA US",13/01/2011,,,0,0,,32,23,23,2011,,
USC00443229,"FRONT ROYAL, VA US",14/01/2011,,,0,0,,33,22,23,2011,,
USC00443229,"FRONT ROYAL, VA US",15/01/2011,,,0,0,,37,21,26,2011,,
USC00443229,"FRONT ROYAL, VA US",16/01/2011,,,0,0,,45,26,37,2011,,
USC00443229,"FRONT ROYAL, VA US",17/01/2011,,,0,0,,37,27,27,2011,,
USC00443229,"FRONT ROYAL, VA US",18/01/2011,,,0.28,0,,32,24,24,2011,,
USC00443229,"FRONT ROYAL, VA US",19/01/2011,,,0.08,0,,39,24,34,2011,,
USC00443229,"FRONT ROYAL, VA US",20/01/2011,,,0,0,,46,32,32,2011,,
USC00443229,"FRONT ROYAL, VA US",21/01/2011,,,0,0,,40,29,30,2011,,
USC00443229,"FRONT ROYAL, VA US",22/01/2011,,,0,0,,30,12,12,2011,,
USC00443229,"FRONT ROYAL, VA US",23/01/2011,,,0,0,0,26,11,15,2011,,
USC00443229,"FRONT ROYAL, VA US",25/01/2011,,,0,0,0,31,7,28,2011,,
USC00443229,"FRONT ROYAL, VA US",26/01/2011,,,0.01,0.1,0,50,28,31,2011,,
USC00443229,"FRONT ROYAL, VA US",27/01/2011,,,0.8,8,8,32,27,27,2011,,
USC00443229,"FRONT ROYAL, VA US",28/01/2011,,,0,0,7,36,22,24,2011,,
USC00443229,"FRONT ROYAL, VA US",29/01/2011,,,0.01,0.1,6,35,19,22,2011,,
USC00443229,"FRONT ROYAL, VA US",30/01/2011,,,0,0,6,40,17,21,2011,,
USC00443229,"FRONT ROYAL, VA US",31/01/2011,,,0,0,5,44,19,27,2011,,
USC00443229,"FRONT ROYAL, VA US",1/2/2011,,,0,,4,31,25,25,2011,,
USC00443229,"FRONT ROYAL, VA US",2/2/2011,,,0.35,0,3,40,25,35,2011,,
USC00443229,"FRONT ROYAL, VA US",3/2/2011,,,0,,3,60,25,25,2011,,
USC00443229,"FRONT ROYAL, VA US",4/2/2011,,,0,,2,35,21,21,2011,,
USC00443229,"FRONT ROYAL, VA US",5/2/2011,,,0.02,,,43,20,34,2011,,
USC00443229,"FRONT ROYAL, VA US",6/2/2011,,,0.05,,,47,34,36,2011,,
USC00443229,"FRONT ROYAL, VA US",7/2/2011,,,0,,,49,26,27,2011,,
USC00443229,"FRONT ROYAL, VA US",8/2/2011,,,0,,,46,25,35,2011,,
USC00443229,"FRONT ROYAL, VA US",9/2/2011,,,0,,,35,16,17,2011,,
USC00443229,"FRONT ROYAL, VA US",10/2/2011,,,0,,,33,17,22,2011,,
USC00443229,"FRONT ROYAL, VA US",11/2/2011,,,0,,,37,13,14,2011,,
USC00443229,"FRONT ROYAL, VA US",12/2/2011,,,0,,,48,13,30,2011,,
USC00443229,"FRONT ROYAL, VA US",13/02/2011,,,0,,,44,29,32,2011,,
USC00443229,"FRONT ROYAL, VA US",14/02/2011,,,0,,,57,30,53,2011,,
USC00443229,"FRONT ROYAL, VA US",15/02/2011,,,0,,,63,31,32,2011,,
USC00443229,"FRONT ROYAL, VA US",16/02/2011,,,0,,,50,29,33,2011,,
USC00443229,"FRONT ROYAL, VA US",17/02/2011,,,0,,,59,31,55,2011,,
USC00443229,"FRONT ROYAL, VA US",18/02/2011,,,0,,,73,50,63,2011,,
USC00443229,"FRONT ROYAL, VA US",19/02/2011,,,0,0,0,74,47,47,2011,,
USC00443229,"FRONT ROYAL, VA US",20/02/2011,,,0,0,0,55,29,29,2011,,
USC00443229,"FRONT ROYAL, VA US",21/02/2011,,,0,0,0,52,28,47,2011,,
USC00443229,"FRONT ROYAL, VA US",22/02/2011,,,0.12,0.6,1,47,20,20,2011,,
USC00443229,"FRONT ROYAL, VA US",23/02/2011,,,0,0,1,29,20,28,2011,,
USC00443229,"FRONT ROYAL, VA US",24/02/2011,,,0,0,1,45,26,31,2011,,
USC00443229,"FRONT ROYAL, VA US",25/02/2011,,,0.38,0,0,44,31,43,2011,,
USC00443229,"FRONT ROYAL, VA US",26/02/2011,,,0.5,0,0,65,32,32,2011,,
USC00443229,"FRONT ROYAL, VA US",27/02/2011,,,0,0,0,49,32,36,2011,,
USC00443229,"FRONT ROYAL, VA US",28/02/2011,,,0.25,0,0,62,34,45,2011,,
USC00443229,"FRONT ROYAL, VA US",1/3/2011,,,0.17,,,73,30,30,2011,,
USC00443229,"FRONT ROYAL, VA US",2/3/2011,,,0,,,50,30,42,2011,,
USC00443229,"FRONT ROYAL, VA US",3/3/2011,,,0,,,61,22,22,2011,,
USC00443229,"FRONT ROYAL, VA US",4/3/2011,,,0,,,42,22,28,2011,,
USC00443229,"FRONT ROYAL, VA US",5/3/2011,,,0,,,50,27,43,2011,,
USC00443229,"FRONT ROYAL, VA US",6/3/2011,,,0.14,,,58,43,53,2011,,
USC00443229,"FRONT ROYAL, VA US",7/3/2011,,,1.57,,,54,32,32,2011,,
USC00443229,"FRONT ROYAL, VA US",8/3/2011,,,0,,,48,25,27,2011,,
USC00443229,"FRONT ROYAL, VA US",9/3/2011,,,0,,,53,26,36,2011,,
USC00443229,"FRONT ROYAL, VA US",10/3/2011,,,0.73,,,48,35,48,2011,,
USC00443229,"FRONT ROYAL, VA US",11/3/2011,,,1.07,,,57,38,39,2011,,
USC00443229,"FRONT ROYAL, VA US",12/3/2011,,,0,,,45,36,40,2011,,
USC00443229,"FRONT ROYAL, VA US",13/03/2011,,,0,,,69,35,41,2011,,
USC00443229,"FRONT ROYAL, VA US",15/03/2011,,,0,,,53,29,39,2011,RP,
USC00443229,"FRONT ROYAL, VA US",16/03/2011,,,0.03,,,48,38,40,2011,RP,
USC00443229,"FRONT ROYAL, VA US",17/03/2011,,,0,,,57,37,44,2011,RP,
USC00443229,"FRONT ROYAL, VA US",18/03/2011,,,0,,,69,37,67,2011,RP,
USC00443229,"FRONT ROYAL, VA US",19/03/2011,,,0,0,0,79,52,52,2011,RP,
USC00443229,"FRONT ROYAL, VA US",20/03/2011,,,0,0,0,62,34,37,2011,RP,
USC00443229,"FRONT ROYAL, VA US",21/03/2011,,,0,0,0,54,36,43,2011,RP,
USC00443229,"FRONT ROYAL, VA US",22/03/2011,,,0.4,0,0,76,41,54,2011,RP,
USC00443229,"FRONT ROYAL, VA US",23/03/2011,,,0.11,0,0,66,45,45,2011,RP,
USC00443229,"FRONT ROYAL, VA US",24/03/2011,,,0.23,0,0,62,44,44,2011,RP,
USC00443229,"FRONT ROYAL, VA US",25/03/2011,,,0.1,0,0,44,30,30,2011,RP,
USC00443229,"FRONT ROYAL, VA US",26/03/2011,,,0,,,45,28,28,2011,RP,
USC00443229,"FRONT ROYAL, VA US",27/03/2011,,,0.1,1,1,47,28,28,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",28/03/2011,,,0,,,42,27,27,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",29/03/2011,,,0,,,49,25,25,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",30/03/2011,,,0,,,54,25,39,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",31/03/2011,,,0.15,,,45,35,35,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",1/4/2011,,,0.2,,,42,32,35,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",2/4/2011,,,0.04,,,47,34,41,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",3/4/2011,,,0.1,,,48,39,39,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",4/4/2011,,,0.02,,,58,38,46,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",5/4/2011,,,0.42,,,87,46,58,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",6/4/2011,,,0.19,,,59,38,38,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",7/4/2011,,,0,,,68,34,41,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",8/4/2011,,,0,,,72,41,46,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",9/4/2011,,,0.51,,,48,41,41,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",10/4/2011,,,0,,,48,40,43,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",11/4/2011,,,0,,,65,40,58,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",12/4/2011,,,0,,,88,57,61,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",13/04/2011,,,1.75,,,88,49,49,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",14/04/2011,,,0.06,,,56,44,44,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",16/04/2011,,,0.03,,,71,41,48,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",17/04/2011,,,3.15,,,65,47,47,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",18/04/2011,,,0,,,69,44,49,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",19/04/2011,,,0,,,76,48,59,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",20/04/2011,,,0.09,,,70,51,52,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",21/04/2011,,,0,,,85,50,50,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",22/04/2011,,,0,,,64,41,45,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",23/04/2011,,,0.55,,,64,41,43,2011,RP,DP
USC00443229,"FRONT ROYAL, VA US",24/04/2011,,,0.08,,,76,43,64,2011,,DP
USC00443229,"FRONT ROYAL, VA US",25/04/2011,,,0.12,,,84,44,60,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",26/04/2011,,,0.1,,,87,60,66,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",27/04/2011,,,0,,,86,66,66,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",28/04/2011,,,0.55,,,82,66,68,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",29/04/2011,,,0.1,,,76,55,55,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",30/04/2011,,,0,,,76,50,50,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",1/5/2011,,,0,,,70,45,53,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",2/5/2011,,,0.05,,,61,49,54,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",3/5/2011,,,0,,,77,53,60,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",4/5/2011,,,0.5,,,84,43,43,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",5/5/2011,,,0.13,,,60,42,46,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",6/5/2011,,,0,,,67,43,44,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",7/5/2011,,,0,,,73,42,52,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",8/5/2011,,,0,,,68,52,52,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",9/5/2011,,,0.03,,,70,46,46,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",10/5/2011,,,0,,,76,42,44,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",11/5/2011,,,0,,,76,43,58,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",12/5/2011,,,0,,,80,55,55,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",13/05/2011,,,0.08,,,74,54,62,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",14/05/2011,,,0.39,,,72,60,60,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",15/05/2011,,,0.28,,,69,59,61,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",16/05/2011,,,0.51,,,74,58,58,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",17/05/2011,,,0.77,,,72,57,60,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",18/05/2011,,,1.42,,,65,59,60,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",19/05/2011,,,0.37,,,76,51,51,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",21/05/2011,,,0,,,73,50,55,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",22/05/2011,,,0,,,84,53,57,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",23/05/2011,,,0.95,,,80,57,63,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",24/05/2011,,,0.2,,,80,63,74,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",25/05/2011,,,0.11,,,83,59,59,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",26/05/2011,,,0,,,86,59,68,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",27/05/2011,,,0,,,90,63,63,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",28/05/2011,,,0.03,,,90,61,62,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",29/05/2011,,,0,,,82,61,65,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",30/05/2011,,,0,,,87,65,70,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",31/05/2011,,,0,,,95,68,68,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",1/6/2011,,,0,,,96,68,73,2011,DP,DP
USC00443229,"FRONT ROYAL, VA US",2/6/2011,,,0,,,92,72,72,2011,,DP
USC00443229,"FRONT ROYAL, VA US",3/6/2011,,,0,,,85,55,55,2011,,
USC00443229,"FRONT ROYAL, VA US",4/6/2011,,,0,,,79,51,52,2011,,
USC00443229,"FRONT ROYAL, VA US",5/6/2011,,,0.15,,,85,51,62,2011,,
USC00443229,"FRONT ROYAL, VA US",6/6/2011,,,0.02,,,84,59,59,2011,,
USC00443229,"FRONT ROYAL, VA US",7/6/2011,,,0,,,86,58,58,2011,,
USC00443229,"FRONT ROYAL, VA US",8/6/2011,,,0,,,84,58,66,2011,,
USC00443229,"FRONT ROYAL, VA US",9/6/2011,,,0,,,95,66,70,2011,,
USC00443229,"FRONT ROYAL, VA US",10/6/2011,,,0.52,,,95,66,66,2011,,
USC00443229,"FRONT ROYAL, VA US",11/6/2011,,,0.13,,,89,65,67,2011,,
USC00443229,"FRONT ROYAL, VA US",12/6/2011,,,0.04,,,84,64,65,2011,,
USC00443229,"FRONT ROYAL, VA US",13/06/2011,,,0,,,87,57,57,2011,,
USC00443229,"FRONT ROYAL, VA US",14/06/2011,,,0,,,76,56,57,2011,,
USC00443229,"FRONT ROYAL, VA US",15/06/2011,,,0,,,73,53,53,2011,,
USC00443229,"FRONT ROYAL, VA US",16/06/2011,,,0.02,,,77,53,60,2011,,
USC00443229,"FRONT ROYAL, VA US",17/06/2011,,,0.78,,,79,59,59,2011,,
USC00443229,"FRONT ROYAL, VA US",18/06/2011,,,0.1,,,84,59,66,2011,,
USC00443229,"FRONT ROYAL, VA US",19/06/2011,,,1.45,,,82,66,66,2011,,
USC00443229,"FRONT ROYAL, VA US",20/06/2011,,,0.4,,,77,64,64,2011,,
USC00443229,"FRONT ROYAL, VA US",21/06/2011,,,0.2,,,77,63,67,2011,,
USC00443229,"FRONT ROYAL, VA US",22/06/2011,,,0,,,88,67,67,2011,,
USC00443229,"FRONT ROYAL, VA US",23/06/2011,,,0,,,87,67,73,2011,,
USC00443229,"FRONT ROYAL, VA US",24/06/2011,,,0,,,80,69,69,2011,,
USC00443229,"FRONT ROYAL, VA US",25/06/2011,,,0,,,80,60,61,2011,,
USC00443229,"FRONT ROYAL, VA US",26/06/2011,,,0,,,78,60,60,2011,,
USC00443229,"FRONT ROYAL, VA US",27/06/2011,,,0.07,,,80,59,63,2011,,
USC00443229,"FRONT ROYAL, VA US",28/06/2011,,,0,,,79,63,70,2011,,
USC00443229,"FRONT ROYAL, VA US",29/06/2011,,,0.04,,,88,67,67,2011,,
USC00443229,"FRONT ROYAL, VA US",30/06/2011,,,0,,,84,58,58,2011,,
USC00443229,"FRONT ROYAL, VA US",1/7/2011,,,0,,,82,57,58,2011,,
USC00443229,"FRONT ROYAL, VA US",2/7/2011,,,0,,,87,57,57,2011,,
USC00443229,"FRONT ROYAL, VA US",3/7/2011,,,0.15,,,88,57,66,2011,,
USC00443229,"FRONT ROYAL, VA US",4/7/2011,,,0.52,,,92,65,67,2011,,
USC00443229,"FRONT ROYAL, VA US",5/7/2011,3,0.04,0.04,,,82,65,65,2011,,
USC00443229,"FRONT ROYAL, VA US",6/7/2011,,,0,,,87,65,69,2011,,
USC00443229,"FRONT ROYAL, VA US",7/7/2011,,,0,,,86,69,69,2011,,
USC00443229,"FRONT ROYAL, VA US",8/7/2011,,,0.02,,,90,67,67,2011,,
USC00443229,"FRONT ROYAL, VA US",9/7/2011,,,0.83,,,90,64,64,2011,,
USC00443229,"FRONT ROYAL, VA US",10/7/2011,,,0,,,87,64,65,2011,,
USC00443229,"FRONT ROYAL, VA US",11/7/2011,,,0,,,87,64,71,2011,,
USC00443229,"FRONT ROYAL, VA US",12/7/2011,,,0.07,,,93,64,76,2011,,
USC00443229,"FRONT ROYAL, VA US",13/07/2011,,,0,,,93,72,72,2011,,
USC00443229,"FRONT ROYAL, VA US",14/07/2011,,,0.02,,,86,60,60,2011,,
USC00443229,"FRONT ROYAL, VA US",15/07/2011,,,0,,,81,60,62,2011,,
USC00443229,"FRONT ROYAL, VA US",16/07/2011,,,0,,,80,60,60,2011,,
USC00443229,"FRONT ROYAL, VA US",17/07/2011,,,0,,,83,60,63,2011,,
USC00443229,"FRONT ROYAL, VA US",19/07/2011,,,0,,,91,69,74,2011,,
USC00443229,"FRONT ROYAL, VA US",20/07/2011,,,0,,,92,71,71,2011,,
USC00443229,"FRONT ROYAL, VA US",21/07/2011,,,0,,,93,71,74,2011,,
USC00443229,"FRONT ROYAL, VA US",22/07/2011,,,0,,,99,74,74,2011,,
USC00443229,"FRONT ROYAL, VA US",23/07/2011,,,0,,,100,73,74,2011,,
USC00443229,"FRONT ROYAL, VA US",24/07/2011,,,0.08,,,95,74,75,2011,,
USC00443229,"FRONT ROYAL, VA US",25/07/2011,,,0.07,,,95,72,72,2011,,
USC00443229,"FRONT ROYAL, VA US",26/07/2011,,,0.2,,,89,69,70,2011,,
USC00443229,"FRONT ROYAL, VA US",27/07/2011,,,0,,,94,68,68,2011,,
USC00443229,"FRONT ROYAL, VA US",28/07/2011,,,0,,,90,65,65,2011,,
USC00443229,"FRONT ROYAL, VA US",29/07/2011,,,0,,,91,65,68,2011,,
USC00443229,"FRONT ROYAL, VA US",30/07/2011,,,0,,,97,68,76,2011,,
USC00443229,"FRONT ROYAL, VA US",31/07/2011,,,0,,,92,66,67,2011,,
USC00443229,"FRONT ROYAL, VA US",1/8/2011,,,0,,,94,66,67,2011,,
USC00443229,"FRONT ROYAL, VA US",2/8/2011,,,0,,,95,67,72,2011,,
USC00443229,"FRONT ROYAL, VA US",3/8/2011,,,0.3,,,95,68,70,2011,,
USC00443229,"FRONT ROYAL, VA US",4/8/2011,,,0,,,79,70,76,2011,,
USC00443229,"FRONT ROYAL, VA US",5/8/2011,,,0.09,,,86,71,71,2011,,
USC00443229,"FRONT ROYAL, VA US",6/8/2011,,,0,,,83,70,71,2011,,
USC00443229,"FRONT ROYAL, VA US",7/8/2011,,,0.31,,,85,71,72,2011,,
USC00443229,"FRONT ROYAL, VA US",8/8/2011,,,0,,,89,72,74,2011,,
USC00443229,"FRONT ROYAL, VA US",9/8/2011,,,0,,,90,68,69,2011,,
USC00443229,"FRONT ROYAL, VA US",10/8/2011,,,0,,,88,69,73,2011,,
USC00443229,"FRONT ROYAL, VA US",11/8/2011,,,0,,,87,61,63,2011,,
USC00443229,"FRONT ROYAL, VA US",12/8/2011,,,0,,,85,60,60,2011,,
USC00443229,"FRONT ROYAL, VA US",13/08/2011,,,0,,,85,60,64,2011,,
USC00443229,"FRONT ROYAL, VA US",14/08/2011,,,0.48,,,83,63,67,2011,,
USC00443229,"FRONT ROYAL, VA US",15/08/2011,,,0.1,,,85,63,63,2011,,
USC00443229,"FRONT ROYAL, VA US",16/08/2011,,,0,,,78,63,68,2011,,
USC00443229,"FRONT ROYAL, VA US",17/08/2011,,,0,,,85,61,61,2011,,
USC00443229,"FRONT ROYAL, VA US",18/08/2011,,,0,,,87,60,69,2011,,
USC00443229,"FRONT ROYAL, VA US",19/08/2011,,,0.35,,,87,62,62,2011,,
USC00443229,"FRONT ROYAL, VA US",20/08/2011,,,0,,,83,60,60,2011,,
USC00443229,"FRONT ROYAL, VA US",21/08/2011,,,0,,,86,59,70,2011,,
USC00443229,"FRONT ROYAL, VA US",22/08/2011,,,0.05,,,87,59,67,2011,,
USC00443229,"FRONT ROYAL, VA US",23/08/2011,,,0,,,81,54,55,2011,,
USC00443229,"FRONT ROYAL, VA US",24/08/2011,,,0,,,81,53,62,2011,,
