Year,Month,Precipitation (mm),Precipitation Source,Temperature (¡C),Temperature Source
1986,6,252.2,ACP,NA,NA
1986,7,212.9,ACP,NA,NA
1986,8,484.7,ACP,NA,NA
1986,9,277.4,ACP,NA,NA
1986,10,549.2,ACP,NA,NA
1986,11,263.4,ACP,NA,NA
1986,12,156.9,ACP,NA,NA
1987,1,33.6,ACP,NA,NA
1987,2,50.4,ACP,NA,NA
1987,3,5.6,ACP,NA,NA
1987,4,280.2,ACP,NA,NA
1987,5,580,ACP,NA,NA
1987,6,297,ACP,NA,NA
1987,7,512.8,ACP,NA,NA
1987,8,493.1,ACP,NA,NA
1987,9,585.6,ACP,NA,NA
1987,10,633.2,ACP,NA,NA
1987,11,397.9,ACP,NA,NA
1987,12,297,ACP,NA,NA
1988,1,33.6,ACP,NA,NA
1988,2,86.9,ACP,NA,NA
1988,3,2.8,ACP,NA,NA
1988,4,39.2,ACP,NA,NA
1988,5,179.3,ACP,NA,NA
1988,6,210.1,ACP,NA,NA
1988,7,381.1,ACP,NA,NA
1988,8,170.9,ACP,NA,NA
1988,9,341.8,ACP,NA,NA
1988,10,392.3,ACP,NA,NA
1988,11,341.8,ACP,NA,NA
1988,12,201.7,ACP,NA,NA
1989,1,14,ACP,NA,NA
1989,2,58.8,ACP,NA,NA
1989,3,33.6,ACP,NA,NA
1989,4,19.6,ACP,NA,NA
1989,5,131.7,ACP,NA,NA
1989,6,176.5,ACP,NA,NA
1989,7,372.7,ACP,NA,NA
1989,8,353,ACP,NA,NA
1989,9,123.3,ACP,NA,NA
1989,10,560.4,ACP,NA,NA
1989,11,467.9,ACP,NA,NA
1989,12,140.1,ACP,NA,NA
1990,1,53.2,ACP,NA,NA
1990,2,2.8,ACP,NA,NA
1990,3,53.2,ACP,NA,NA
1990,4,170.9,ACP,NA,NA
1990,5,381.1,ACP,NA,NA
1990,6,252.2,ACP,NA,NA
1990,7,406.3,ACP,NA,NA
1990,8,333.4,ACP,NA,NA
1990,9,619.2,ACP,NA,NA
1990,10,540.8,ACP,NA,NA
1990,11,322.2,ACP,NA,NA
1990,12,364.3,ACP,NA,NA
1991,1,64.4,ACP,NA,NA
1991,2,22.4,ACP,NA,NA
1991,3,123.3,ACP,NA,NA
1991,4,72.9,ACP,NA,NA
1991,5,467.9,ACP,NA,NA
1991,6,252.2,ACP,NA,NA
1991,7,148.5,ACP,NA,NA
1991,8,280.2,ACP,NA,NA
1991,9,476.3,ACP,NA,NA
1991,10,241,ACP,NA,NA
1991,11,633.2,ACP,NA,NA
1991,12,50.4,ACP,NA,NA
1992,1,33.6,ACP,NA,NA
1992,2,5.6,ACP,NA,NA
1992,3,25.2,ACP,NA,NA
1992,4,322.2,ACP,NA,NA
1992,5,566,ACP,NA,NA
1992,6,187.7,ACP,NA,NA
1992,7,280.2,ACP,NA,NA
1992,8,392.3,ACP,NA,NA
1992,9,428.7,ACP,NA,NA
1992,10,350.2,ACP,NA,NA
1992,11,375.5,ACP,NA,NA
1992,12,257.8,ACP,NA,NA
1993,1,134.5,ACP,NA,NA
1993,2,53.2,ACP,NA,NA
1993,3,86.9,ACP,NA,NA
1993,4,386.7,ACP,NA,NA
1993,5,179.3,ACP,NA,NA
1993,6,263.4,ACP,NA,NA
1993,7,355.8,ACP,NA,NA
1993,8,302.6,ACP,NA,NA
1993,9,462.3,ACP,NA,NA
1993,10,358.6,ACP,NA,NA
1993,11,434.3,ACP,NA,NA
1993,12,288.6,ACP,NA,NA
1994,1,33.6,ACP,NA,NA
1994,2,22.4,ACP,NA,NA
1994,3,47.6,ACP,NA,NA
1994,4,128.9,ACP,NA,NA
1994,5,425.9,ACP,NA,NA
1994,6,546.4,ACP,NA,NA
1994,7,257.8,ACP,NA,NA
1994,8,568.8,ACP,NA,NA
1994,9,257.8,ACP,NA,NA
1994,10,218.6,ACP,NA,NA
1994,11,420.3,ACP,NA,NA
1994,12,137.3,ACP,NA,NA
1995,1,291.9,ACP,26.9,ACP
1995,2,5.7,ACP,26.9,ACP
1995,3,37.2,ACP,27.2,ACP
1995,4,128.8,ACP,27.8,ACP
1995,5,352,ACP,26.8,ACP
1995,6,286.2,ACP,27.2,ACP
1995,7,492.2,ACP,26.5,ACP
1995,8,263.3,ACP,27.2,ACP
1995,9,206,ACP,27.4,ACP
1995,10,457.9,ACP,26.9,ACP
1995,11,623.8,ACP,26.1,ACP
1995,12,455,ACP,26.1,ACP
1996,1,452.1,ACP,26.4,ACP
1996,2,183.1,ACP,26.7,ACP
1996,3,85.8,ACP,27,ACP
1996,4,123,ACP,27.5,ACP
1996,5,372,ACP,27.2,ACP
1996,6,354.8,ACP,26.6,ACP
1996,7,228.9,ACP,26.3,ACP
1996,8,240.4,ACP,26.5,ACP
1996,9,274.7,ACP,26.7,ACP
1996,10,320.5,ACP,26.7,ACP
1996,11,726.8,ACP,25.9,ACP
1996,12,226.1,ACP,26.4,ACP
1997,1,63,ACP,26.5,ACP
1997,2,20,ACP,27.3,ACP
1997,3,5.7,ACP,27,ACP
1997,4,22.9,ACP,27.8,FTS
1997,5,194.5,FTS,27.2,FTS
1997,6,168.2,FTS,25.6,FTS
1997,7,206.1,FTS,25.9,FTS
1997,8,335.8,FTS,25.8,FTS
1997,9,265.9,FTS,25.4,FTS
1997,10,187.2,FTS,25.7,FTS
1997,11,216.5,FTS,25.1,FTS
1997,12,33.5,FTS,25.5,FTS
1998,1,29.1,FTS,25.4,FTS
1998,2,36.8,FTS,25.5,FTS
1998,3,39.2,FTS,25.8,FTS
1998,4,502.5,FTS,26.1,FTS
1998,5,302.2,FTS,26.2,FTS
1998,6,250.4,FTS,25.8,FTS
1998,7,514.1,FTS,25.2,FTS
1998,8,360.6,FTS,25.3,FTS
1998,9,102.7,FTS,25.7,FTS
1998,10,260.4,FTS,25.4,FTS
1998,11,268.4,FTS,25,FTS
1998,12,533.6,FTS,24.4,FTS
1999,1,88.2,FTS,25,FTS
1999,2,61.1,FTS,24.4,FTS
1999,3,119.7,FTS,24.7,FTS
1999,4,128.6,FTS,25.1,FTS
1999,5,273.9,FTS,25.3,FTS
1999,6,283.4,FTS,24.8,FTS
1999,7,391,FTS,24.8,FTS
1999,8,396.2,FTS,24.6,FTS
1999,9,258.1,FTS,24.7,FTS
1999,10,204.8,FTS,24.6,FTS
1999,11,511.4,FTS,24.2,FTS
1999,12,699.4,FTS,24.6,FTS
2000,1,89.7,FTS,25.2,FTS
2000,2,54.2,FTS,25.2,FTS
2000,3,6.8,FTS,25.3,FTS
2000,4,118.5,FTS,25.8,FTS
2000,5,435.1,FTS,26.2,FTS
2000,6,595.9,FTS,26.2,FTS
2000,7,159.6,FTS,26.1,FTS
2000,8,248.1,FTS,26.4,FTS
2000,9,148,FTS,26.2,FTS
2000,10,575.1,FTS,26,FTS
2000,11,253.3,FTS,26.3,FTS
2000,12,658,FTS,25.8,FTS
2001,1,92.6,FTS,25.7,FTS
2001,2,2.8,FTS,25.6,FTS
2001,3,168,FTS,25.5,FTS
2001,4,52,FTS,26.3,FTS
2001,5,181.4,FTS,26.7,FTS
2001,6,137.3,FTS,27,FTS
2001,7,283.3,FTS,26.4,FTS
2001,8,403.7,FTS,27,FTS
2001,9,446.3,FTS,26.3,FTS
2001,10,376.7,FTS,25.7,FTS
2001,11,497.8,FTS,24.9,FTS
2001,12,117.3,FTS,26.2,FTS
2002,1,195.3,FTS,26.8,FTS
2002,2,20.3,FTS,26.1,FTS
2002,3,73.7,FTS,26.1,FTS
2002,4,233.7,FTS,26.5,FTS
2002,5,172.7,FTS,27.2,FTS
2002,6,140.9,FTS,27,FTS
2002,7,288.2,FTS,26.8,FTS
2002,8,546.5,FTS,26.8,FTS
2002,9,306.4,FTS,26.7,FTS
2002,10,389.1,FTS,26.3,FTS
2002,11,622,FTS,26.4,FTS
2002,12,101,FTS,26.7,FTS
2003,1,40.5,FTS,26.2,FTS
2003,2,12.7,FTS,26.2,FTS
2003,3,2.5,FTS,26.4,FTS
2003,4,198.1,FTS,26.6,FTS
2003,5,253.3,FTS,26.7,FTS
2003,6,249.9,FTS,26.3,FTS
2003,7,330.8,FTS,26.4,FTS
2003,8,524.3,FTS,26.5,FTS
2003,9,393.8,FTS,26.7,FTS
2003,10,252.3,FTS,26.4,FTS
2003,11,656.6,FTS,25.3,FTS
2003,12,583,FTS,24.8,FTS
2004,1,39.6,FTS,25,FTS
2004,2,74.1,FTS,25.2,FTS
2004,3,38.8,FTS,25.3,FTS
2004,4,154.8,FTS,25.3,FTS
2004,5,640.2,FTS,25.2,FTS
2004,6,307.5,FTS,25.2,FTS
2004,7,332.7,FTS,24.6,FTS
2004,8,346.7,FTS,24.8,FTS
2004,9,146.1,FTS,24.9,FTS
2004,10,374,FTS,25,FTS
2004,11,375.9,FTS,24.4,FTS
2004,12,373.4,ACP,24.9,FTS
2005,1,137.4,ACP,24.5,FTS
2005,2,37.2,ACP,24.3,FTS
2005,3,60.1,ACP,25.2,FTS
2005,4,323.4,ACP,25.5,FTS
2005,5,360.6,ACP,25.3,FTS
2005,6,177.4,ACP,25.9,FTS
2005,7,274.7,ACP,25.9,FTS
2005,8,526.5,ACP,24.9,FTS
2005,9,446.4,ACP,24.6,FTS
2005,10,200.3,ACP,26.8,ACP
2005,11,689.7,ACP,25.9,ACP
2005,12,243.2,ACP,24.7,FTS
2006,1,57.2,ACP,24.8,FTS
2006,2,51.5,ACP,24.5,FTS
2006,3,123.1,ACP,24.6,FTS
2006,4,100.2,ACP,24.4,FTS
2006,5,297.6,ACP,24.3,FTS
2006,6,91.6,ACP,24.6,FTS
2006,7,630.2,FTS,24.2,FTS
2006,8,146.3,FTS,24.6,FTS
2006,9,307.8,FTS,24.4,FTS
2006,10,132.9,FTS,24.2,FTS
2006,11,546.6,ACP,23.1,FTS
2006,12,406.4,ACP,23.9,FTS
2007,1,11.4,ACP,24.8,FTS
2007,2,22.9,ACP,24.5,FTS
2007,3,63,ACP,24.7,FTS
2007,4,162.2,ACP,24.5,FTS
2007,5,363.9,ACP,23.6,FTS
2007,6,235.5,ACP,23.8,FTS
2007,7,227.6,ACP,23,FTS
2007,8,323.3,ACP,25.1,FTS
2007,9,353.8,ACP,25.5,FTS
2007,10,349.8,FTS,24.5,FTS
2007,11,969.4,FTS,24.6,FTS
2007,12,264.4,FTS,24.7,FTS
2008,1,33,FTS,25,FTS
2008,2,63.2,FTS,24.8,FTS
2008,3,40.3,FTS,25.1,FTS
2008,4,99.4,FTS,25.6,FTS
2008,5,548.7,FTS,25.4,FTS
2008,6,309.7,FTS,25.4,FTS
2008,7,415.6,FTS,24.9,FTS
2008,8,333.1,FTS,25.1,FTS
2008,9,156.3,FTS,25.6,FTS
2008,10,309.7,FTS,25.3,FTS
2008,11,845.7,FTS,24.1,FTS
2008,12,133.5,FTS,24.9,FTS
2009,1,71,FTS,24.7,FTS
2009,2,47,FTS,24.5,FTS
2009,3,48.1,FTS,24.5,FTS
2009,4,163,FTS,25.2,FTS
2009,5,205.5,FTS,25.4,FTS
2009,6,272.6,FTS,25.6,FTS
2009,7,278.3,FTS,25.4,FTS
2009,8,370.9,FTS,25.1,FTS
2009,9,268.3,FTS,25.7,FTS
2009,10,294.9,FTS,25.2,FTS
2009,11,742,FTS,24.7,FTS
2009,12,80.2,FTS,25.4,FTS
2010,1,31.9,FTS,25.2,FTS
2010,2,18,ACP,25.4,FTS
2010,3,54.1,ACP,25.6,FTS
2010,4,85.6,ACP,26.2,FTS
2010,5,123.9,ACP,26.4,FTS
2010,6,375.2,ACP,25.6,FTS
2010,7,187,ACP,25.3,FTS
2010,8,397.7,ACP,25.2,FTS
2010,9,210.2,FTS,25.1,FTS
2010,10,709.6,FTS,24.5,FTS
2010,11,615.4,FTS,23.8,FTS
2010,12,1075,FTS,23.2,FTS
2011,1,205.4,FTS,24.2,FTS
2011,2,114.2,FTS,24.7,FTS
2011,3,68.4,FTS,24.6,FTS
2011,4,154.1,FTS,24.9,FTS
2011,5,326.9,FTS,25.5,FTS
2011,6,436.3,FTS,25.3,FTS
2011,7,490.2,FTS,22.2,FTS
2011,8,281.5,FTS,13.5,FTS
2011,9,221,FTS,20,FTS
2011,10,298.4,FTS,24.7,FTS
2011,11,973.4,FTS,24.3,FTS
2011,12,627.5,FTS,24.5,FTS
2012,1,21.8,FTS,25.1,FTS
2012,2,21.8,FTS,24.8,FTS
2012,3,131.9,FTS,25.2,FTS
2012,4,227.6,FTS,25.6,FTS
2012,5,339.6,FTS,26,FTS
2012,6,284.2,FTS,26.2,FTS
2012,7,355.5,FTS,25.6,FTS
2012,8,209.5,FTS,25.6,FTS
2012,9,368.3,FTS,25.7,FTS
2012,10,370.5,FTS,25.2,FTS
2012,11,1506.3,FTS,24.7,FTS
2012,12,542.2,FTS,25.1,FTS
2013,1,10.7,FTS,25.5,FTS
2013,2,49.4,FTS,25.3,FTS
2013,3,41.5,FTS,25.6,FTS
2013,4,99.7,FTS,26.2,FTS
2013,5,586.7,FTS,25.9,FTS
2013,6,341.9,FTS,25.8,FTS
2013,7,408.9,FTS,25.7,FTS
2013,8,420.1,FTS,25.4,FTS
2013,9,211.9,FTS,25.9,FTS
2013,10,290.1,FTS,25.3,FTS
2013,11,206.3,FTS,25.4,FTS
2013,12,302.6,FTS,25.5,FTS
2014,1,53,FTS,25.1,FTS
2014,2,28.7,FTS,24.9,FTS
2014,3,45.4,FTS,25.2,FTS
2014,4,141.6,FTS,25.6,FTS
2014,5,431.1,FTS,25.6,FTS
2014,6,457.1,FTS,25.6,FTS
2014,7,150.9,FTS,26,FTS
2014,8,414,FTS,25.3,FTS
2014,9,182.9,FTS,25.4,FTS
2014,10,428.5,FTS,25.2,FTS
2014,11,520.1,FTS,24.9,FTS
2014,12,312.8,FTS,24.9,FTS
